"project","cruise","date_time_UTC","station","cast","bottle","latitude","longitude","depth","temp","sal","date_time_start_UTC","date_time_end_UTC","light_treatment","mu_0","mu_0_Std","mu_N","mu_N_mv","mu_N_Std","mu_N_Std_mv","grazing","grazing_mv","grazing_Std","grazing_Std_mv","mu_10d","mu_10d_mv","mu_10d_Std","mu_10d_Std_mv","grazing_10d","grazing_10d_mv","grazing_10d_Std","grazing_10d_Std_mv","mu_10u","mu_10u_mv","mu_10u_Std","mu_10u_Std_mv","grazing_10u","grazing_10u_mv","grazing_10u_Std","grazing_10u_Std_mv","temp_light_inc_filename"
"NES-LTER","EN608","2018-01-31 19:44:59+00:00","L1","1","11-12-13-14",41.19641,-70.877725,2.84375,2.3088,32.3789,"2018-01-31 21:00:00+00:00","2018-02-01 21:30:00+00:00",15,0.133331504801672,0.0712681020622219,-9999,"n/n",-9999,"n/n",0.279155823345674,"not missing",0.086383593898904,"not missing",-9999,"n/a",-9999,"n/a",-9999,"n/a",-9999,"n/a",-9999,"n/a",-9999,"n/a",-9999,"n/a",-9999,"n/a","en608_temp_light_incubation_L1.csv"
"NES-LTER","EN608","2018-02-01 09:33:26+00:00","L3","5","17-18-19-20",40.8559225,-70.884435,3.1295,4.8702,32.740475,"2018-02-01 11:00:00+00:00","2018-02-02 11:00:00+00:00",15,0.416345384493863,0.0435273241523415,-9999,"n/n",-9999,"n/n",0.179898931561299,"not missing",0.0526287453589074,"not missing",-9999,"n/a",-9999,"n/a",-9999,"n/a",-9999,"n/a",-9999,"n/a",-9999,"n/a",-9999,"n/a",-9999,"n/a","en608_temp_light_incubation_L3.csv"
"NES-LTER","EN608","2018-02-01 19:31:38+00:00","L4","8","20-21-22-23",40.6927875,-70.8842075,5.32675,4.49665,32.6192,"2018-02-01 20:30:00+00:00","2018-02-02 20:50:00+00:00",15,0.270260248116086,0.0678186659649783,-9999,"n/n",-9999,"n/n",0,"not missing",0,"not missing",-9999,"n/a",-9999,"n/a",-9999,"n/a",-9999,"n/a",-9999,"n/a",-9999,"n/a",-9999,"n/a",-9999,"n/a","en608_temp_light_incubation_L4.csv"
"NES-LTER","EN608","2018-02-02 19:23:46+00:00","L8","15","22-23-24",40.1199533333333,-70.8063166666667,6.107,8.50726666666667,33.5594666666667,"2018-02-02 20:50:00+00:00","2018-02-03 20:50:00+00:00",15,0.39555372750493,0.0317612708384178,-9999,"n/n",-9999,"n/n",0.204608643918328,"not missing",0.0375552757874496,"not missing",-9999,"n/a",-9999,"n/a",-9999,"n/a",-9999,"n/a",-9999,"n/a",-9999,"n/a",-9999,"n/a",-9999,"n/a","en608_temp_light_incubation_L8.csv"
"NES-LTER","EN608","2018-02-03 18:20:37+00:00","L11","19","21-22-23",39.7631466666667,-70.8897933333333,4.06,9.88503333333333,34.2108333333333,"2018-02-03 20:00:00+00:00","2018-02-04 20:00:00+00:00",15,0.394649444788703,0.027331251714734,-9999,"n/n",-9999,"n/n",0.20715312395465,"not missing",0.0336173445084974,"not missing",-9999,"n/a",-9999,"n/a",-9999,"n/a",-9999,"n/a",-9999,"n/a",-9999,"n/a",-9999,"n/a",-9999,"n/a","en608_temp_light_incubation_L11.csv"
"NES-LTER","EN608","2018-01-31 19:23:16+00:00","L1","1","11-12-13-14",41.19641,-70.877725,2.84375,2.3088,32.3789,"2018-01-31 21:00:00+00:00","2018-02-01 21:30:00+00:00",65,0.167191030602357,0.0889201095366001,-9999,"n/n",-9999,"n/n",0.431039678624647,"not missing",0.113222358853649,"not missing",-9999,"n/c",-9999,"n/c",-9999,"n/c",-9999,"n/c",0.383636544755843,"not missing",0.0865543108717343,"not missing",0.31,"not missing",0.13,"not missing","en608_temp_light_incubation_L1.csv"
"NES-LTER","EN608","2018-02-01 09:17:29+00:00","L3","5","17-18-19-20",40.8559225,-70.884435,3.1295,4.8702,32.740475,"2018-02-01 11:00:00+00:00","2018-02-02 11:00:00+00:00",65,0.294135625142532,0.106054233111089,-9999,"n/n",-9999,"n/n",-9999,"n/d",-9999,"n/d",-9999,"n/c",-9999,"n/c",-9999,"n/c",-9999,"n/c",0.142998281616257,"not missing",0.108106860782078,"not missing",0,"not missing",0,"not missing","en608_temp_light_incubation_L3.csv"
"NES-LTER","EN608","2018-02-01 19:15:43+00:00","L4","8","20-21-22-23",40.6927875,-70.8842075,5.32675,4.49665,32.6192,"2018-02-01 20:30:00+00:00","2018-02-02 20:50:00+00:00",65,0.248784292300906,0.0454890914776341,-9999,"n/n",-9999,"n/n",-9999,"n/d",-9999,"n/d",-9999,"n/c",-9999,"n/c",-9999,"n/c",-9999,"n/c",0.501151087005539,"not missing",0.0615999500506689,"not missing",0.33,"not missing",0.09,"not missing","en608_temp_light_incubation_L4.csv"
"NES-LTER","EN608","2018-02-02 19:00:30+00:00","L8","15","22-23-24",40.1199533333333,-70.8063166666667,6.107,8.50726666666667,33.5594666666667,"2018-02-02 20:50:00+00:00","2018-02-03 20:50:00+00:00",65,0.402178969074396,0.0567886908613376,-9999,"n/n",-9999,"n/n",0.26,"not missing",0.07,"not missing",-9999,"n/c",-9999,"n/c",-9999,"n/c",-9999,"n/c",0.503019701205916,"not missing",0.0469485288519915,"not missing",0.41,"not missing",0.06,"not missing","en608_temp_light_incubation_L8.csv"
"NES-LTER","EN608","2018-02-03 17:45:08+00:00","L11","19","21-22-23",39.7631466666667,-70.8897933333333,4.06,9.88503333333333,34.2108333333333,"2018-02-03 20:00:00+00:00","2018-02-04 20:00:00+00:00",65,0.215715249357524,0.0812879486874053,-9999,"n/n",-9999,"n/n",0,"not missing",0,"not missing",-9999,"n/c",-9999,"n/c",-9999,"n/c",-9999,"n/c",0.300558587438886,"not missing",0,"not missing",0,"not missing",0,"not missing","en608_temp_light_incubation_L11.csv"
